selection_rank,proposed_area,area_evidence,hobby_buckets,automated_flags,candidate_id,source_kind,source_name,source_url,registration_urls,title_hint,provider_hint,venue_hint,postal_hint,date_hints,time_hints,cost_hints,age_hints,excerpt_or_notes,missing_for_ckb,review_decision,confirmed_title,confirmed_provider,confirmed_provider_type,confirmed_venue,confirmed_postal_code,confirmed_planning_area,confirmed_nearest_mrt,confirmed_cost_one_off_sgd,confirmed_cost_recurring_sgd,confirmed_equipment_cost_sgd,confirmed_age_min,confirmed_age_max,confirmed_beginner_friendly,confirmed_join_alone_ok,confirmed_guest_allowed,confirmed_commitment,confirmed_schedule_kind,confirmed_weekday,confirmed_start_time,confirmed_duration_min,confirmed_first_session,confirmed_num_sessions,confirmed_fixed_dates,confirmed_open_hours_note,confirmed_weekday_evening_available,confirmed_weekend_available,confirmed_vibes,confirmed_in_incumbent_directory,reviewed_at,reviewed_by,review_notes
11,Jurong West,explicit row text; human must confirm URA boundary,chill,,NLB-5971829,merged_nlb_draft,National Library Board,https://nlb.libcal.com/event/5971829,,Puzzle It Out! A Jigsaw Puzzle Pop-Up | Jurong West Library,National Library Board,Jurong West Library,,2026-10-01T10:00,,0 | 0,13 | 17,"campus: Jurong West Library · categories: Areas of Interest > Reading, Event Type > Experiential Event, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",verified_at | verified_by | cost_one_off_sgd | planning_area | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Jurong West,explicit row text; human must confirm URA boundary,chill,,NLB-5914829,merged_nlb_draft,National Library Board,https://nlb.libcal.com/event/5914829,,MOLLY Weekend Outreach @ Jurong West Sports Centre,National Library Board,Others,,2026-09-20T09:00,,0 | 0,13 | 17,"campus: Others · categories: Areas of Interest > Accessible, Areas of Interest > Reading, Event Type > Experiential Event, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",verified_at | verified_by | cost_one_off_sgd | planning_area | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Jurong West,explicit row text; human must confirm URA boundary,sporty,date_requires_confirmation | age_requires_confirmation,FTP-yuhua-secondary-school-field,merged_activesg_draft,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/facilities/yuhua-secondary-school-field,,Yuhua Secondary School Field,Sport Singapore (ActiveSG),Yuhua Secondary School Field,649406,,Sat: 3pm - 7pm,0 | 0 | 0,,zone: West · 35 Jurong West Street 41 Singapore 649406 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Jurong West,explicit row text; human must confirm URA boundary,sporty,date_requires_confirmation | age_requires_confirmation,FTP-xingnan-primary-school-field,merged_activesg_draft,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/facilities/xingnan-primary-school-field,,Xingnan Primary School Field,Sport Singapore (ActiveSG),Xingnan Primary School Field,649036,,Sat: 3pm - 7pm; Sun: 9am - 7pm,0 | 0 | 0,,zone: West · 5 Jurong West Street 91 Singapore 649036 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jurong West,reviewed facility mapping; human must confirm,sporty,date_requires_confirmation | age_requires_confirmation,FTP-lakeside-primary-school-field,merged_activesg_draft,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/facilities/lakeside-primary-school-field,,Lakeside Primary School Field,Sport Singapore (ActiveSG),Lakeside Primary School Field,618310,,Sat: 3pm - 7pm; Sun: 9am - 7pm,0 | 0 | 0,,zone: West · 161 Corporation Walk Singapore 618310 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jurong West,explicit row text; human must confirm URA boundary,sporty | artistic,,WEB-nanyang-dance-fitness-2026,public_web_candidate,People's Association / Nanyang CC,https://www.onepa.gov.sg/events/nanyang-csn-dance-fitness-2026-11967588,https://www.onepa.gov.sg/events/nanyang-csn-dance-fitness-2026-11967588,Nanyang CSN Dance Fitness 2026,People's Association / Nanyang CC,,649040,23 June 2026 | 29 September 2026,Tuesdays 7:30 PM-8:30 PM,Free,suitable for everyone,"Official event page lists a free Tuesday dance-fitness session at Nanyang CC on Jurong West Street 91, 7:30–8:30 pm through 29 September 2026, described as suitable for everyone.",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Jurong West,explicit row text; human must confirm URA boundary,sporty | artistic,date_requires_confirmation | age_requires_confirmation,WEB-jw-activegroove,public_web_candidate,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/activegroove,,Dance practice at Jurong West ActiveGroove,Sport Singapore (ActiveSG),,648965,,,Free-to-use,,Official ActiveSG information identifies ActiveGroove as a free-to-use dance space; the Jurong West location and opening status require human confirmation.,verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jurong West,explicit row text; human must confirm URA boundary,sporty,date_requires_confirmation,WEB-jw-swim,public_web_candidate,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/facilities/jurong-west-sport-centre,https://activesg.gov.sg/passes,Recreational swim at Jurong West Swimming Complex,Sport Singapore (ActiveSG),,648965,,Operating hours require confirmation,Child entry rate requires confirmation,ages 1-17,Official facility and pass pages provide recreational swimming at Jurong West; current child entry rates and operating hours require final confirmation.,verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Jurong West,explicit row text; human must confirm URA boundary,sporty,date_requires_confirmation,WEB-jw-gym,public_web_candidate,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/facilities/jurong-west-sport-centre,https://activesg.gov.sg/passes,ActiveGYM session at Jurong West Sport Centre,Sport Singapore (ActiveSG),,648965,,Daily facility hours require confirmation,Student entry rate requires confirmation,aged 12 and above,"Official facility and pass pages provide a Jurong West gym option; eligibility, student rate, opening hours and current availability require final confirmation.",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Jurong West,explicit row text; human must confirm URA boundary,chill | explorative,date_requires_confirmation,WEB-jurong-central-board-games,public_web_candidate,NParks,https://www.nparks.gov.sg/visit/parks/park-detail/jurong-central-park,,Life-sized board games at Jurong Central Park,NParks,,,,Open 24 hours,Free public park,whole family,Official park page lists a Ludo Garden and life-sized board-game features; the park is open 24 hours near Boon Lay MRT.,verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Jurong West,explicit row text; human must confirm URA boundary,sporty | explorative,date_requires_confirmation | age_requires_confirmation,WEB-jw-park-connector-walk,public_web_candidate,NParks,https://pcn.nparks.gov.sg/jurong-west-pc/,,Walk or jog the Jurong West Park Connector,NParks,,,,,Free public route,,"Official park-connector page describes the neighbourhood route as suitable for a short run, strolling and other outdoor activities.",verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Jurong West,explicit row text; human must confirm URA boundary,sporty | explorative,date_requires_confirmation | age_requires_confirmation,WEB-jw-park-connector-cycle,public_web_candidate,NParks,https://pcn.nparks.gov.sg/jurong-west-pc/,,Cycle the Jurong West Park Connector,NParks,,,,,Free public route,,Official park-connector page describes a 2.2 km route from Boon Lay Way to Jurong West Street 93 and lists cycling as a suitable outdoor activity.,verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Jurong West,explicit row text; human must confirm URA boundary,sporty,date_requires_confirmation | age_requires_confirmation | cost_requires_confirmation,WEB-jw-table-tennis,public_web_candidate,Sport Singapore (ActiveSG),https://activesg.gov.sg/facility-bookings/activities/lpa7rfS4ShmUUt7XsFJlD/venues,https://activesg.gov.sg/facility-bookings/activities/lpa7rfS4ShmUUt7XsFJlD/venues,Table tennis at Jurong West Sport Centre,Sport Singapore (ActiveSG),,648965,,,,,Official ActiveSG booking page includes the Jurong West Sport Centre table-tennis area among selectable venues; slots and price require live confirmation.,verified_at | verified_by | cost_one_off_sgd | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Jurong West,explicit row text; human must confirm URA boundary,sporty | explorative,date_requires_confirmation | age_requires_confirmation | cost_requires_confirmation,WEB-jurong-spring-sip,public_web_candidate,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/active-health/sport-in-precinct,,Sport-in-Precinct at Jurong Spring,Sport Singapore (ActiveSG),,640556,,,,,"Official Active Health page lists a Sport-in-Precinct location in Jurong Spring; available activities, access terms and hours require human confirmation.",verified_at | verified_by | cost_one_off_sgd | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Jurong West,explicit row text; human must confirm URA boundary,sporty | explorative,date_requires_confirmation | age_requires_confirmation | cost_requires_confirmation,WEB-gek-poh-sip,public_web_candidate,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/active-health/sport-in-precinct,,Sport-in-Precinct at Gek Poh,Sport Singapore (ActiveSG),,640735,,,,,"Official Active Health page lists a Sport-in-Precinct location in Gek Poh; available activities, access terms and hours require human confirmation.",verified_at | verified_by | cost_one_off_sgd | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Punggol,explicit row text; human must confirm URA boundary,artistic | explorative,,NLB-5971096,merged_nlb_draft,National Library Board,https://nlb.libcal.com/event/5971096,,Sewing Starter Session @ Punggol Library | MakeIT,National Library Board,Punggol Library - MakeIT (Level 4),,2026-09-12T15:00,,0 | 0,13 | 17,"campus: Punggol Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",verified_at | verified_by | cost_one_off_sgd | planning_area | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Punggol,explicit row text; human must confirm URA boundary,chill,,NLB-5972408,merged_nlb_draft,National Library Board,https://nlb.libcal.com/event/5972408,,Board Games B.F.F.,National Library Board,Punggol Library - Programme Room (Level 5),,2026-09-28T14:00,,0 | 0,13 | 17,"campus: Punggol Library · categories: Areas of Interest > Accessible, Event Type > Others, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",verified_at | verified_by | cost_one_off_sgd | planning_area | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Punggol,explicit row text; human must confirm URA boundary,explorative,,NLB-5972410,merged_nlb_draft,National Library Board,https://nlb.libcal.com/event/5972410,,SDO Digital Literacy,National Library Board,Punggol Library - Programme Room (Level 5),,2026-09-15T10:00,,0 | 0,13 | 17,"campus: Punggol Library · categories: Areas of Interest > Accessible, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",verified_at | verified_by | cost_one_off_sgd | planning_area | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Punggol,explicit row text; human must confirm URA boundary,chill,,NLB-5972258,merged_nlb_draft,National Library Board,https://nlb.libcal.com/event/5972258,,"[LOLA 2026] Read Together, Grow Together",National Library Board,Punggol Library - Teenspace (Level 3),,2026-09-19T13:00,,0 | 0,13 | 17,"campus: Punggol Library · categories: Areas of Interest > Reading, Event Type > Talk, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",verified_at | verified_by | cost_one_off_sgd | planning_area | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Punggol,explicit row text; human must confirm URA boundary,artistic,,NLB-5971444,merged_nlb_draft,National Library Board,https://nlb.libcal.com/event/5971444,,Access Bazaar,National Library Board,Punggol Library - Atrium (Level 1),,2026-09-06T10:00,,0 | 0,13 | 17,"campus: Punggol Library · categories: Areas of Interest > Accessible, Areas of Interest > Art & Creativity, Event Type > Others, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",verified_at | verified_by | cost_one_off_sgd | planning_area | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Punggol,explicit row text; human must confirm URA boundary,explorative,,NLB-5971694,merged_nlb_draft,National Library Board,https://nlb.libcal.com/event/5971694,,Shape Videos That Stick @ Punggol Library | MakeIT,National Library Board,Punggol Library - MakeIT (Level 4),,2026-09-25T17:30,,0 | 0,13 | 17,"campus: Punggol Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",verified_at | verified_by | cost_one_off_sgd | planning_area | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Punggol,explicit row text; human must confirm URA boundary,sporty,date_requires_confirmation | age_requires_confirmation,FTP-waterway-primary-school-field,merged_activesg_draft,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/facilities/waterway-primary-school-field,,Waterway Primary School Field,Sport Singapore (ActiveSG),Waterway Primary School Field,828802,,Sat: 3pm - 7pm; Sun: 9am - 7pm,0 | 0 | 0,,zone: Northeast · 70 Punggol Drive Singapore 828802 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Punggol,reviewed facility mapping; human must confirm,sporty,date_requires_confirmation | age_requires_confirmation,FTP-punggol-cove-primary-school-field,merged_activesg_draft,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/facilities/punggol-cove-primary-school-field,,Punggol Cove Primary School Field,Sport Singapore (ActiveSG),Punggol Cove Primary School Field,828674,,Sat: 3pm - 7pm; Sun: 9am - 7pm,0 | 0 | 0,,zone: Northeast · 52 Sumang Walk Singapore 828674 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Punggol,reviewed facility mapping; human must confirm,sporty,date_requires_confirmation | age_requires_confirmation,FTP-northshore-primary-school-field,merged_activesg_draft,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/facilities/northshore-primary-school-field,,Northshore Primary School Field,Sport Singapore (ActiveSG),Northshore Primary School Field,828671,,Sat: 3pm - 7pm; Sun: 9am - 7pm,0 | 0 | 0,,zone: Northeast · 30 Northshore Drive Singapore 828671 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Punggol,reviewed facility mapping; human must confirm,sporty,date_requires_confirmation | age_requires_confirmation,FTP-horizon-primary-school-field,merged_activesg_draft,Sport Singapore (ActiveSG),https://www.activesgcircle.gov.sg/facilities/horizon-primary-school-field,,Horizon Primary School Field,Sport Singapore (ActiveSG),Horizon Primary School Field,828819,,Sat: 3pm - 7pm; Sun: 9am - 7pm,0 | 0 | 0,,zone: Northeast · 61 Edgedale Plains Singapore 828819 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,verified_at | verified_by | planning_area | age_min | age_max | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Bishan,local source-channel hint only; venue may differ,sporty | explorative,area_is_source_hint_only,SOC-9e5207ac2f21,public_telegram_candidate,Bishan Connects,https://t.me/bishancc/1171,https://t.me/bishancc/1171,🚀 Discover the Leader in YOU! 🚀,Bishan Connects,,,9 September,9AM | 5PM,FREE,youths aged 17–24,"🚀 Discover the Leader in YOU! 🚀 Calling all youths aged 17–24! 🌟 Ready to build confidence, discover your strengths and take charge of your future? Join us for Discovering The Leader In Me®, a FREE 2-day programme powered by The 7 Habits of Highly Effective Teens®. 📅 8 & 9 Septem",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Bishan,local source-channel hint only; venue may differ,sporty | explorative,area_is_source_hint_only,SOC-0aba77286349,public_telegram_candidate,Bishan Connects,https://t.me/bishancc/1165,https://t.me/bishancc/1165 | https://go.gov.sg/mlbb-btpmm | https://go.gov.sg/btpmmynpmc,🎉 One day. Endless fun. Great company.,Bishan Connects,,,6 September 2026,10AM | 4PM,$8,all ages,"🎉 One day. Endless fun. Great company. Get ready for Play, Move, Connect, a community event packed with exciting activities for all ages! Whether you're coming with family, friends, or neighbours, there's something for everyone to enjoy. ✨ Expect: 🏀 Sports challenges 🎯 Laser Tag ",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
